Date time		Value
12/06/2021; 15:14:38	31.35	56 
12/06/2021; 15:14:48	31.35	56 
12/06/2021; 15:14:58	31.26	56 
12/06/2021; 15:15:08	31.26	56 
12/06/2021; 15:15:18	31.26	56 
12/06/2021; 15:15:28	31.17	56 
12/06/2021; 15:15:38	31.35	56 
12/06/2021; 15:15:48	31.26	56 
12/06/2021; 15:15:58	31.08	56 
12/06/2021; 15:16:08	31.26	56 
12/06/2021; 15:16:18	31.26	56 
12/06/2021; 15:16:28	31.26	56 
12/06/2021; 15:16:38	31.26	57 
12/06/2021; 15:16:48	31.17	56 
12/06/2021; 15:16:58	31.17	56 
12/06/2021; 15:17:08	31.17	56 
12/06/2021; 15:17:18	31.17	57 
12/06/2021; 15:17:28	31.17	56 
12/06/2021; 15:17:38	31.08	56 
12/06/2021; 15:17:48	31.08	56 
12/06/2021; 15:17:58	31.17	57 
12/06/2021; 15:18:08	31.08	56 
12/06/2021; 15:18:18	31.17	56 
12/06/2021; 15:18:28	31.17	57 
12/06/2021; 15:18:38	31.17	57 
12/06/2021; 15:18:48	31.17	57 
12/06/2021; 15:18:58	31.08	57 
12/06/2021; 15:19:08	31.08	57 
12/06/2021; 15:19:18	31.08	57 
12/06/2021; 15:19:28	30.99	57 
12/06/2021; 15:19:38	30.99	57 
12/06/2021; 15:22:57	31.63	58 
12/06/2021; 15:44:58	ÿ	 
12/06/2021; 15:45:58	ÿ	 
12/06/2021; 15:46:58	ÿ	 
12/06/2021; 15:47:58	ÿ	 
12/06/2021; 15:48:59	ÿ	 
12/06/2021; 15:49:59	ÿ	 
12/06/2021; 15:50:59	ÿ	 
12/06/2021; 15:51:59	ÿ	 
12/06/2021; 15:52:59	ÿ	 
12/06/2021; 15:53:59	ÿ	 
12/06/2021; 17:22:58	30.80	67 
12/06/2021; 17:23:58	30.99	66 
12/06/2021; 17:24:57	30.80	64 
12/06/2021; 17:25:57	30.71	61 
12/06/2021; 17:26:57	30.89	59 
12/06/2021; 17:27:57	30.80	58 
12/06/2021; 17:28:57	30.89	57 
12/06/2021; 17:29:57	30.89	56 
12/06/2021; 17:30:57	30.89	56 
12/06/2021; 17:31:57	30.62	55 
12/06/2021; 17:32:56	30.71	55 
12/06/2021; 17:33:56	30.62	55 
12/06/2021; 17:34:56	30.71	55 
12/06/2021; 17:35:56	30.71	55 
12/06/2021; 17:36:56	30.62	54 
12/06/2021; 17:37:56	30.43	74 
12/06/2021; 17:38:56	29.52	68 
12/06/2021; 17:39:56	29.61	65 
12/06/2021; 17:40:56	29.52	61 
12/06/2021; 17:41:55	29.52	57 
12/06/2021; 17:42:55	29.34	57 
12/06/2021; 17:43:55	29.34	57 
12/06/2021; 17:44:55	29.34	57 
12/06/2021; 17:45:55	29.43	56 
12/06/2021; 17:46:55	29.25	55 
12/06/2021; 17:47:55	29.16	55 
12/06/2021; 17:48:55	29.34	55 
12/06/2021; 17:49:54	29.25	55 
12/06/2021; 17:50:54	29.34	55 
12/06/2021; 17:51:54	29.25	55 
12/06/2021; 17:52:54	29.25	54 
12/06/2021; 17:53:54	29.25	55 
12/06/2021; 17:54:54	29.07	54 
12/06/2021; 17:55:54	29.16	54 
12/06/2021; 17:56:54	29.16	54 
12/06/2021; 17:57:53	29.16	55 
12/06/2021; 17:58:53	29.16	63 
12/06/2021; 17:59:53	29.16	65 
12/06/2021; 18:00:53	29.16	66 
12/06/2021; 18:01:53	29.07	66 
12/06/2021; 18:02:53	29.07	67 
12/06/2021; 18:03:53	29.16	68 
12/06/2021; 18:04:53	28.98	67 
12/06/2021; 18:05:53	29.07	67 
12/06/2021; 18:06:52	29.16	67 
12/06/2021; 18:07:52	28.98	67 
12/06/2021; 18:08:52	28.98	67 
12/06/2021; 18:09:52	29.07	67 
12/06/2021; 18:10:52	29.07	67 
12/06/2021; 18:11:52	29.16	68 
12/06/2021; 18:12:52	28.89	68 
12/06/2021; 18:13:52	28.89	67 
12/06/2021; 18:14:51	29.07	67 
12/06/2021; 18:15:51	28.98	67 
12/06/2021; 18:16:51	28.98	67 
12/06/2021; 18:17:51	29.07	67 
12/06/2021; 18:18:51	28.89	67 
12/06/2021; 18:19:51	29.07	67 
12/06/2021; 18:20:51	29.07	67 
12/06/2021; 18:21:51	28.89	67 
12/06/2021; 18:22:50	29.07	67 
12/06/2021; 18:23:50	29.07	67 
12/06/2021; 18:24:50	28.98	67 
12/06/2021; 18:25:50	29.07	68 
12/06/2021; 18:26:50	29.07	67 
12/06/2021; 18:27:50	29.07	68 
12/06/2021; 18:28:50	29.16	68 
12/06/2021; 18:29:50	29.07	67 
12/06/2021; 18:30:50	29.16	68 
12/06/2021; 18:31:59	29.07	68 
12/06/2021; 18:32:59	29.07	68 
12/06/2021; 18:33:59	29.07	68 
12/06/2021; 18:34:59	28.98	68 
12/06/2021; 18:35:59	29.16	68 
12/06/2021; 18:36:59	29.07	68 
12/06/2021; 18:37:59	29.07	68 
12/06/2021; 18:38:59	29.07	68 
12/06/2021; 18:39:58	29.16	68 
12/06/2021; 18:40:58	29.07	68 
12/06/2021; 18:41:58	29.25	68 
12/06/2021; 18:42:58	29.07	68 
12/06/2021; 18:43:58	29.07	68 
12/06/2021; 18:44:58	29.07	68 
12/06/2021; 18:45:58	28.98	68 
12/06/2021; 18:46:58	29.07	68 
12/06/2021; 18:47:57	29.07	68 
12/06/2021; 18:48:57	29.07	68 
12/06/2021; 18:49:57	29.16	68 
12/06/2021; 18:50:57	29.07	68 
12/06/2021; 18:51:57	28.89	68 
12/06/2021; 18:52:57	28.98	68 
12/06/2021; 18:53:57	28.89	68 
12/06/2021; 18:54:57	29.07	68 
12/06/2021; 18:55:57	29.07	68 
12/06/2021; 18:56:56	29.07	68 
12/06/2021; 18:57:56	28.89	68 
12/06/2021; 18:58:56	29.07	69 
12/06/2021; 18:59:56	29.16	68 
12/06/2021; 19:00:56	29.07	69 
12/06/2021; 19:01:56	29.07	68 
12/06/2021; 19:02:56	29.07	68 
12/06/2021; 19:03:56	29.07	68 
12/06/2021; 19:04:55	29.07	68 
12/06/2021; 19:05:55	29.07	68 
12/06/2021; 19:06:55	29.07	68 
12/06/2021; 19:07:55	29.07	68 
12/06/2021; 19:08:55	29.07	68 
12/06/2021; 19:09:55	29.07	69 
12/06/2021; 19:10:55	29.07	68 
